user	likes	positive	negative	total	classification	positive_comments	negative_comments	total_comments
3631	18	2	2	38	NEUTRAL	4	1	8
3631	12	0	0	36	NEUTRAL	2	0	4
3631	22	0	1	30	NEGATIVE	1	1	6
3631	18	1	0	16	POSITIVE	0	1	7
3631	7	0	1	9	NEGATIVE	0	0	2
3631	14	0	0	7	NEUTRAL	0	0	0
3631	52	1	0	11	POSITIVE	0	0	1
3631	2	0	0	4	NEUTRAL	0	0	1
3631	12	0	1	11	NEGATIVE	1	1	5
3639	1	0	0	1	NEUTRAL	0	0	0
3639	2	1	1	7	NEUTRAL	0	0	1
3644	35	0	0	42	NEUTRAL	3	0	4
